id  ,text,emotions
0   ,I'm so bored about my life. Everything suck, 1
1   ,There's no joy in every moments of my life, 1
2   ,Nothing at all! everything fine, 0
3   ,I'm fine and happy so much!, 0
4   ,I'm a bit nervous, 1
5   ,I've cried a lot after something happened, 1
6   ,I feel a bit confused about what my parents want. It makes me nervous, 1
7   ,I'm so bored about my life. Everything suck, 1
8   ,There's no joy in every moments of my life, 1
9   ,Nothing at all! everything fine, 0
10  ,I'm fine and happy so much!, 0
11  ,I'm a bit nervous, 1
12  ,I've cried a lot after something happened, 1
13  ,I feel a bit confused about what my parents want. It makes me nervous, 1